313," 1. Are you an:
A. IBM Customer
B. IBM Partner
C. IBM Employee","Answer: A","COG-142 Scorecard"
314," 2. If you are successful with this exam, do you agree to have your name made available to relevent IBM personnel for project staffing?.
A. Yes
B. No","Answer: A","COG-142 Scorecard"
315," 3. Which of the following is a step in the process of loading data from a Cognos Planning system into a Metric Studio application?
A. Create a Framework Manager model in Metric Designer.
B. Transfer the metrics to the Contributor store.
C. Create a Framework Manager model from published Contributor data.
D. Transfer live Analyst data directly into the metric store.","Answer: C","COG-142 Scorecard"
316," 4. Which of the following sets of metrics would be MOST appropriate for the balanced scorecard model?
A. Number of new hires, Turnover rate, Head count, Average age
B. Revenue, customer satisifaction, product quality, percent of employees trained
C. Sales, revenue per sq ft, product quality, number of returns
D. Global revenue, revenue for services, revenue for product sales, revenue for support","Answer: B","COG-142 Scorecard"
317," 5. A scorecard application has been implemented using the balanced model, where four scorecards were created for each perspective. Which perspectives contain the following metrics?defects per unit number of returns number of recalls
A. Financial and Customer
B. Customer and Internal Process
C. Internal Process and Learning and Growth
D. Financial and Learning and Growth","Answer: B","COG-142 Scorecard"
318," 6. The data that needs to be populated in the metric store requires consolidation and data cleansing from various data sources. What is the MOST appropriate data loading technique to accomplish this?
A. Manual entry
B. Metric Designer
C. SQL scripts (structured query language)
D. An ETL tool (extraction, transformation, and loading)","Answer: D","COG-142 Scorecard"
319," 7. A scorecard contains metrics that were loaded for today, last month, and last quarter. What view is used to see all the metric statuses at once?
A. Most recent values
B. Monthly level values
C. Quarterly level values
D. Yearly level values","Answer: A","COG-142 Scorecard"
320," 8. Americas Derived Performance is a derived index metric based on all the metrics in the Americas scorecard. Using the most recent view, the status for Americas Derived Performance is not showing. What must a user do to see the status of Americas Derived Performance?
A. Select calendar level as Month and calendar period as December.
B. Select calendar level as Quarter and calendar period as Q4.
C. Select calendar level as Year and calendar period as 2007.
D. Select show the to-date status values for open periods as of Dec 1, 2007.","Answer: C","COG-142 Scorecard"
136," In Framework Manager, which of the following is a correct technique for maintaining packages?  
Options:  
1.Edit the contents of a package by including or excluding model objects such as namespaces, folders, and query subjects. 
2.Publish packages to the network as well as to the content store in order to maintain model versioning and prevent report errors. 
3.Perform an impact analysis on a package to identify the impact of changing the cardinality of a relationship between two query subjects included in the package. 
4.When publishing packages, use file system version control so that reports created based on one version of a model will always run against that same version of the model regardless of how many times the package is published.","Answer:1","COG-132 Metadata"
137," In Framework Manager, which of the following is a correct technique for model segmentation?  
Options:  
1.Segment a project at the level of an individual query subject. 
2.Define the repository type and path to the repository in Cognos Connection. 
3.Consolidate segmented and linked metadata in a project into a single project by publishing a package to a network location. 
4.Copy all segmented model files into one common folder before using Framework Manger  model merge feature.","Answer:3","COG-132 Metadata"
